,ele,times,hr,cad,lat,lon
1585,73.5999984741211,1585.0,138.0,83.0,49.239951353520155,-123.15491714514792
1586,73.5999984741211,1586.0,138.0,83.0,49.239970967173576,-123.15490297973156
1587,73.4000015258789,1587.0,138.0,83.0,49.239986976608634,-123.15489266999066
1588,73.19999694824219,1588.0,138.0,83.0,49.240009440109134,-123.1548869702965
1589,73.0,1589.0,138.0,84.0,49.24003190360963,-123.15487381070852
1590,72.80000305175781,1590.0,138.0,84.0,49.240055372938514,-123.1548541970551
1591,72.5999984741211,1591.0,138.0,84.0,49.240076914429665,-123.15483416430652
1592,72.4000015258789,1592.0,139.0,84.0,49.24010063521564,-123.154819579795
1593,72.4000015258789,1593.0,138.0,85.0,49.240119410678744,-123.15479334443808
1594,72.19999694824219,1594.0,138.0,85.0,49.240141874179244,-123.15477549098432
1595,72.0,1595.0,138.0,85.0,49.24016567878425,-123.154756128788
1596,71.80000305175781,1596.0,138.0,85.0,49.24018847756088,-123.15473425202072
1597,71.4000015258789,1597.0,138.0,85.0,49.240223094820976,-123.15471849404275
1598,71.19999694824219,1598.0,138.0,85.0,49.24025000073016,-123.15469703637064
1599,70.80000305175781,1599.0,137.0,85.0,49.2402736376971,-123.15467348322272
1600,70.5999984741211,1600.0,138.0,85.0,49.24029652029276,-123.15464800223708
1601,70.4000015258789,1601.0,138.0,85.0,49.240317810326815,-123.15462436527014
1602,70.19999694824219,1602.0,139.0,85.0,49.24033700488508,-123.15459854900837
1603,70.0,1603.0,139.0,84.0,49.240353936329484,-123.15457206219435
1604,70.0,1604.0,140.0,84.0,49.240368101745844,-123.15454431809485
1605,69.80000305175781,1605.0,140.0,84.0,49.240383356809616,-123.15451581962407
1606,69.5999984741211,1606.0,140.0,85.0,49.240400455892086,-123.15448799170554
1607,69.5999984741211,1607.0,140.0,85.0,49.240417052060366,-123.15445982851088
1608,69.4000015258789,1608.0,141.0,85.0,49.240431636571884,-123.15443300642073
1609,69.4000015258789,1609.0,141.0,85.0,49.24044563435018,-123.15440735779703
1610,69.19999694824219,1610.0,141.0,85.0,49.24045619554818,-123.1543779373169
1611,69.19999694824219,1611.0,142.0,85.0,49.24046566709876,-123.15434935502708
1612,69.19999694824219,1612.0,144.0,85.0,49.24047983251512,-123.154322700575
1613,69.0,1613.0,144.0,85.0,49.240494752302766,-123.15429671667516
1614,69.0,1614.0,143.0,85.0,49.24050849862397,-123.15427081659436
1615,68.80000305175781,1615.0,142.0,85.0,49.240521574392915,-123.15424399450421
1616,68.5999984741211,1616.0,141.0,85.0,49.24053984694183,-123.15421574749053
1617,68.5999984741211,1617.0,141.0,85.0,49.24055635929108,-123.15419068560004
1618,68.4000015258789,1618.0,140.0,85.0,49.240572368726134,-123.15416377969086
1619,68.4000015258789,1619.0,139.0,85.0,49.24058200791478,-123.15413435921073
1620,68.4000015258789,1620.0,140.0,85.0,49.24059173092246,-123.15410426817834
1621,68.19999694824219,1621.0,142.0,85.0,49.24060430377722,-123.15407652407885
1622,68.19999694824219,1622.0,143.0,85.0,49.24062014557421,-123.15404953435063
1623,68.19999694824219,1623.0,141.0,85.0,49.24062869511545,-123.1540164258331
1624,68.0,1624.0,141.0,85.0,49.24064009450376,-123.15398516133428
1625,68.0,1625.0,142.0,85.0,49.24064981751144,-123.15395448356867
1626,68.0,1626.0,142.0,85.0,49.24065928906202,-123.15392263233662
1627,68.0,1627.0,141.0,86.0,49.24066658131778,-123.153889272362
1628,68.19999694824219,1628.0,141.0,86.0,49.24067236483097,-123.1538564991206
1629,68.19999694824219,1629.0,142.0,86.0,49.240678483620286,-123.15382431261241
1630,68.4000015258789,1630.0,142.0,86.0,49.24068736843765,-123.15379430539906
1631,68.4000015258789,1631.0,141.0,86.0,49.2406949121505,-123.15376245416701
1632,68.5999984741211,1632.0,141.0,86.0,49.240701952949166,-123.15372968092561
1633,68.5999984741211,1633.0,142.0,86.0,49.24071142449975,-123.15369682386518
1634,68.5999984741211,1634.0,141.0,86.0,49.240719974040985,-123.15366363152862
1635,68.80000305175781,1635.0,141.0,86.0,49.240726847201586,-123.15362884663045
1636,69.0,1636.0,141.0,86.0,49.240732630714774,-123.15359573811293
1637,69.0,1637.0,142.0,86.0,49.24073866568506,-123.15356715582311
1638,69.19999694824219,1638.0,142.0,86.0,49.24074612557888,-123.15353748388588
1639,69.19999694824219,1639.0,142.0,86.0,49.24075534567237,-123.1535073928535
1640,69.4000015258789,1640.0,142.0,86.0,49.24076364375651,-123.15347654744983
1641,69.5999984741211,1641.0,141.0,86.0,49.24077202565968,-123.15344888716936
1642,69.80000305175781,1642.0,142.0,85.0,49.240779066458344,-123.15341720357537
1643,70.0,1643.0,143.0,85.0,49.240787364542484,-123.15338677726686
1644,70.19999694824219,1644.0,142.0,84.0,49.24079339951277,-123.15335785970092
1645,70.4000015258789,1645.0,142.0,84.0,49.240798177197576,-123.15332726575434
1646,70.5999984741211,1646.0,143.0,84.0,49.240800524130464,-123.15329558216035
1647,71.0,1647.0,143.0,84.0,49.24080278724432,-123.15326415002346
1648,71.19999694824219,1648.0,143.0,84.0,49.24080664291978,-123.15323204733431
1649,71.19999694824219,1649.0,143.0,84.0,49.24081024713814,-123.15320296213031
1650,71.4000015258789,1650.0,143.0,84.0,49.24081351608038,-123.15317119471729
1651,71.5999984741211,1651.0,143.0,84.0,49.2408159468323,-123.15313817001879
1652,71.80000305175781,1652.0,143.0,83.0,49.24081829376519,-123.15310481004417
1653,71.80000305175781,1653.0,143.0,83.0,49.24082734622061,-123.15307061187923
1654,72.0,1654.0,143.0,83.0,49.240832291543484,-123.15303691662848
1655,72.0,1655.0,143.0,83.0,49.240839248523116,-123.15300204791129
